iter	Passed	Remaining
0	64	64776
1	69	34486
2	73	24480
3	78	19505
4	82	16360
5	86	14267
6	90	12779
7	94	11660
8	98	10797
9	102	10186
10	106	9590
11	110	9094
12	114	8667
13	118	8323
14	122	8036
15	126	7801
16	130	7564
17	134	7335
18	138	7146
19	142	6969
20	146	6842
21	150	6686
22	154	6556
23	158	6442
24	162	6329
25	166	6233
26	170	6142
27	174	6063
28	178	5984
29	183	5933
30	187	5858
31	191	5796
32	197	5775
33	202	5743
34	207	5712
35	211	5672
36	215	5620
37	220	5575
38	224	5531
39	228	5487
40	232	5448
41	237	5426
42	241	5384
43	246	5349
44	250	5306
45	254	5269
46	258	5239
47	262	5206
48	266	5176
49	271	5154
50	276	5152
51	281	5138
52	286	5120
53	290	5096
54	295	5071
55	298	5037
56	303	5015
57	307	4995
58	312	4977
59	316	4957
60	320	4929
61	325	4925
62	330	4909
63	333	4883
64	338	4862
65	342	4841
66	346	4819
67	350	4809
68	355	4794
69	359	4775
70	363	4755
71	367	4740
72	372	4724
73	376	4706
74	380	4689
75	384	4677
76	388	4660
77	393	4649
78	397	4635
79	401	4620
80	406	4608
81	410	4597
82	414	4581
83	419	4569
84	423	4554
85	427	4546
86	431	4532
87	436	4519
88	440	4507
89	444	4497
90	448	4484
91	453	4472
92	457	4458
93	461	4447
94	465	4433
95	470	4429
96	474	4419
97	478	4404
98	482	4393
99	486	4381
100	491	4376
101	497	4375
102	501	4363
103	505	4351
104	509	4344
105	514	4336
106	518	4324
107	522	4317
108	526	4306
109	531	4298
110	535	4292
111	540	4281
112	544	4272
113	548	4260
114	552	4255
115	557	4246
116	561	4234
117	565	4226
118	569	4217
119	573	4205
120	577	4195
121	581	4184
122	585	4174
123	590	4168
124	594	4164
125	599	4156
126	604	4152
127	608	4142
128	612	4136
129	616	4128
130	621	4120
131	625	4111
132	629	4104
133	634	4098
134	638	4090
135	643	4085
136	647	4077
137	651	4069
138	655	4057
139	659	4048
140	663	4039
141	667	4031
142	671	4022
143	675	4014
144	680	4012
145	684	4004
146	688	3997
147	693	3990
148	697	3984
149	702	3979
150	706	3973
151	710	3963
152	715	3958
153	719	3951
154	723	3944
155	727	3937
156	731	3928
157	735	3920
158	739	3911
159	743	3905
160	748	3900
161	752	3891
162	755	3882
163	759	3872
164	764	3866
165	767	3858
166	772	3853
167	776	3847
168	781	3842
169	786	3839
170	791	3839
171	797	3837
172	801	3832
173	806	3829
174	811	3827
175	816	3824
176	820	3817
177	825	3810
178	830	3810
179	834	3803
180	839	3800
181	844	3793
182	848	3786
183	852	3780
184	856	3774
185	861	3768
186	865	3763
187	870	3758
188	874	3752
189	879	3747
190	883	3740
191	887	3733
192	891	3726
193	895	3720
194	900	3716
195	904	3710
196	908	3703
197	912	3696
198	916	3689
199	920	3683
200	925	3678
201	929	3672
202	933	3666
203	937	3659
204	942	3653
205	946	3647
206	950	3641
207	955	3637
208	959	3631
209	963	3625
210	968	3620
211	971	3612
212	976	3606
213	980	3600
214	984	3596
215	989	3593
216	995	3591
217	1000	3588
218	1004	3583
219	1009	3579
220	1013	3573
221	1020	3575
222	1024	3571
223	1030	3569
224	1034	3564
225	1039	3559
226	1043	3554
227	1048	3551
228	1053	3547
229	1057	3541
230	1062	3536
231	1066	3532
232	1072	3529
233	1077	3526
234	1082	3523
235	1087	3521
236	1092	3517
237	1098	3516
238	1104	3515
239	1109	3513
240	1114	3508
241	1119	3505
242	1124	3502
243	1128	3496
244	1133	3492
245	1137	3486
246	1142	3482
247	1146	3477
248	1150	3470
249	1154	3464
250	1159	3458
251	1163	3452
252	1167	3447
253	1171	3441
254	1176	3437
255	1181	3432
256	1186	3429
257	1192	3428
258	1196	3422
259	1201	3420
260	1207	3417
261	1211	3411
262	1215	3406
263	1219	3400
264	1223	3394
265	1228	3388
266	1232	3383
267	1236	3377
268	1241	3372
269	1246	3369
270	1250	3364
271	1255	3359
272	1259	3354
273	1264	3350
274	1269	3347
275	1276	3347
276	1282	3347
277	1286	3342
278	1291	3336
279	1295	3331
280	1299	3326
281	1304	3322
282	1309	3318
283	1314	3313
284	1319	3309
285	1323	3304
286	1328	3300
287	1333	3295
288	1337	3289
289	1341	3284
290	1347	3283
291	1356	3288
292	1362	3287
293	1367	3284
294	1374	3284
295	1381	3286
296	1388	3287
297	1394	3284
298	1399	3281
299	1407	3284
300	1414	3284
301	1421	3286
302	1429	3287
303	1434	3283
304	1439	3280
305	1443	3274
306	1450	3273
307	1456	3271
308	1460	3265
309	1465	3261
310	1469	3255
311	1474	3250
312	1478	3245
313	1483	3239
314	1487	3234
315	1491	3228
316	1495	3223
317	1501	3219
318	1505	3213
319	1509	3208
320	1514	3202
321	1519	3198
322	1523	3192
323	1527	3186
324	1531	3180
325	1535	3174
326	1539	3169
327	1544	3163
328	1548	3158
329	1553	3153
330	1557	3147
331	1561	3141
332	1565	3136
333	1570	3130
334	1574	3125
335	1578	3119
336	1582	3113
337	1586	3107
338	1590	3101
339	1595	3096
340	1599	3091
341	1605	3088
342	1610	3084
343	1614	3078
344	1618	3073
345	1623	3068
346	1627	3062
347	1631	3057
348	1635	3051
349	1639	3045
350	1644	3040
351	1647	3033
352	1651	3027
353	1655	3021
354	1659	3015
355	1665	3012
356	1669	3007
357	1673	3001
358	1678	2996
359	1682	2990
360	1686	2985
361	1690	2979
362	1694	2973
363	1698	2968
364	1703	2962
365	1707	2957
366	1711	2951
367	1715	2945
368	1719	2940
369	1723	2934
370	1727	2928
371	1731	2923
372	1736	2918
373	1740	2913
374	1744	2907
375	1748	2902
376	1753	2897
377	1757	2892
378	1762	2887
379	1766	2882
380	1770	2876
381	1775	2871
382	1779	2866
383	1783	2860
384	1787	2855
385	1792	2851
386	1796	2846
387	1801	2841
388	1805	2835
389	1809	2830
390	1814	2825
391	1818	2820
392	1822	2814
393	1827	2810
394	1832	2806
395	1836	2800
396	1840	2795
397	1845	2790
398	1849	2785
399	1854	2781
400	1858	2775
401	1862	2770
402	1867	2766
403	1871	2760
404	1875	2755
405	1879	2750
406	1883	2744
407	1888	2739
408	1892	2734
409	1897	2729
410	1901	2724
411	1905	2719
412	1909	2714
413	1914	2709
414	1919	2705
415	1923	2700
416	1928	2695
417	1932	2691
418	1937	2686
419	1941	2681
420	1945	2676
421	1950	2671
422	1954	2666
423	1958	2660
424	1963	2656
425	1968	2651
426	1972	2646
427	1976	2641
428	1981	2636
429	1986	2632
430	1990	2628
431	1995	2623
432	1999	2618
433	2003	2613
434	2008	2608
435	2012	2603
436	2016	2598
437	2021	2593
438	2025	2588
439	2029	2583
440	2034	2578
441	2038	2573
442	2043	2569
443	2047	2564
444	2052	2559
445	2056	2554
446	2060	2549
447	2064	2544
448	2069	2539
449	2073	2534
450	2077	2529
451	2082	2524
452	2086	2519
453	2090	2514
454	2095	2509
455	2098	2503
456	2103	2499
457	2108	2494
458	2112	2489
459	2116	2484
460	2121	2479
461	2125	2474
462	2129	2469
463	2133	2464
464	2138	2460
465	2143	2456
466	2148	2451
467	2152	2446
468	2156	2441
469	2161	2437
470	2165	2431
471	2169	2427
472	2174	2422
473	2179	2418
474	2183	2413
475	2187	2408
476	2192	2403
477	2196	2399
478	2202	2395
479	2206	2390
480	2210	2385
481	2215	2380
482	2221	2377
483	2225	2372
484	2229	2367
485	2234	2362
486	2238	2357
487	2243	2353
488	2247	2348
489	2251	2343
490	2255	2338
491	2259	2333
492	2264	2328
493	2268	2323
494	2272	2318
495	2276	2313
496	2281	2308
497	2285	2303
498	2289	2298
499	2293	2293
500	2298	2288
501	2302	2283
502	2306	2279
503	2311	2274
504	2316	2270
505	2320	2265
506	2325	2261
507	2330	2257
508	2334	2252
509	2339	2247
510	2344	2243
511	2348	2238
512	2353	2234
513	2358	2230
514	2363	2225
515	2368	2221
516	2372	2216
517	2381	2216
518	2391	2216
519	2398	2214
520	2404	2210
521	2408	2205
522	2412	2200
523	2416	2195
524	2420	2189
525	2424	2184
526	2429	2180
527	2433	2175
528	2437	2169
529	2441	2165
530	2446	2160
531	2450	2155
532	2454	2150
533	2459	2146
534	2463	2141
535	2467	2136
536	2472	2131
537	2476	2126
538	2481	2121
539	2485	2117
540	2490	2112
541	2495	2108
542	2499	2103
543	2503	2098
544	2508	2093
545	2512	2089
546	2516	2084
547	2521	2079
548	2525	2075
549	2530	2070
550	2534	2065
551	2538	2060
552	2543	2055
553	2547	2051
554	2552	2046
555	2557	2042
556	2561	2037
557	2567	2033
558	2571	2028
559	2576	2024
560	2580	2019
561	2584	2014
562	2589	2009
563	2593	2004
564	2597	1999
565	2601	1994
566	2606	1990
567	2610	1985
568	2614	1980
569	2619	1976
570	2624	1971
571	2628	1967
572	2633	1962
573	2637	1957
574	2642	1952
575	2646	1948
576	2650	1943
577	2655	1938
578	2659	1933
579	2664	1929
580	2668	1924
581	2672	1919
582	2676	1914
583	2681	1909
584	2685	1905
585	2689	1900
586	2694	1895
587	2698	1890
588	2702	1885
589	2706	1880
590	2711	1876
591	2715	1871
592	2719	1866
593	2724	1861
594	2727	1856
595	2732	1852
596	2737	1847
597	2741	1842
598	2745	1838
599	2749	1833
600	2754	1828
601	2758	1823
602	2763	1819
603	2768	1815
604	2773	1810
605	2778	1806
606	2782	1801
607	2786	1796
608	2791	1792
609	2795	1787
610	2800	1783
611	2805	1778
612	2809	1773
613	2813	1768
614	2818	1764
615	2822	1759
616	2825	1754
