id,title,price,available_quantity,sold_quantity,listing_type_id,thumbnail_id,tags,use_thumbnail_id,order_backend,seller__id,seller__tags,seller__seller_reputation__level_id,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__total,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__completed,prices__id,prices__prices,prices__reference_prices,installments__quantity,installments__amount,installments__rate,shipping__free_shipping,shipping__tags,shipping__logistic_type,days_remaining,years_active
MLA935261192,Apple iPhone SE (2da Generación) 256 Gb - Negro,178999.0,18,5,gold_pro,867860-MLA46552660763_062021,"['extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'best_seller_candidate']",True,1,195832229,"['brand', 'large_seller', 'mshops', 'messages_as_seller']",5_green,60 days,0.0029,11,60 days,0.0054,20,60 days,0.0041,14,60 days,3510,380,8025,0.02,0.01,0.97,7645,MLA935261192,"[{'id': '3', 'type': 'standard', 'amount': 178999, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-14T01:58:13Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",[],9,19888.78,0.0,True,['mandatory_free_shipping'],cross_docking,7160,6
MLA1119499930,Apple iPhone 11 (256 Gb) - Negro,297999.0,1,3,gold_pro,606410-MLA46115014454_052021,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'extended_warranty_eligible', 'immediate_payment', 'best_seller_candidate']",True,2,195832229,"['brand', 'large_seller', 'mshops', 'messages_as_seller']",5_green,60 days,0.0029,11,60 days,0.0054,20,60 days,0.0041,14,60 days,3510,380,8025,0.02,0.01,0.97,7645,MLA1119499930,"[{'id': '1', 'type': 'standard', 'amount': 297999, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-15T12:49:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",[],9,33111.0,0.0,True,['mandatory_free_shipping'],cross_docking,7281,6
MLA931173114,Apple iPhone 11 (64 Gb) - Blanco,201980.0,1,6,gold_special,809326-MLA46115014340_052021,"['good_quality_thumbnail', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",True,3,393731981,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0,1,60 days,0.0038,3,60 days,0.0312,23,60 days,736,114,1939,0.02,0.02,0.96,1825,MLA931173114,"[{'id': '63', 'type': 'standard', 'amount': 201980, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-02-02T14:23:43Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '54', 'type': 'min_standard', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 175999, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-20T04:12:42Z'}, {'id': '55', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-20T04:12:42Z', 'end_time': '2022-01-27T04:12:42Z', 'eligible': True}, 'amount': 193999, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-20T04:12:42Z'}]",12,28642.45,70.17,True,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7109,3
MLA825206827,Apple iPhone 11 (128 Gb) - Negro,211881.0,1,10,gold_special,865864-MLA46114990464_052021,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",True,4,90262631,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",5_green,60 days,0.0,2,60 days,0.0,0,60 days,0.0217,3,60 days,142,108,1425,0.01,0.01,0.98,1317,MLA825206827,"[{'id': '32', 'type': 'standard', 'amount': 211881, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-02-02T03:27:05Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",[],12,30046.49,70.17,True,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6487,16
MLA1119861749,iPhone 11 Pro 256 Gb Gris Espacial,286241.0,1,1,gold_special,924317-MLA32446773467_102019,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",True,5,278897053,"['normal', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0,0,60 days,0.0,1,60 days,0.0653,16,60 days,266,77,1136,0.01,0.01,0.98,1059,MLA1119861749,"[{'id': '2', 'type': 'standard', 'amount': 286241, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-27T21:21:11Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '3', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-31T04:23:16Z', 'end_time': '2022-02-07T04:23:16Z', 'eligible': True}, 'amount': 273796, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-31T04:23:16Z'}]",12,40591.36,70.17,True,['mandatory_free_shipping'],xd_drop_off,7284,4
MLA920190352, iPhone 8 64 Gb Gris Espacial,119999.0,1,5,gold_special,639441-MLA31003118785_062019,"['extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']",True,6,289742936,"['normal', 'credits_profile', 'messages_as_seller']",5_green,365 days,0.0,0,365 days,0.0,1,365 days,0.0117,1,365 days,110,10,120,0.0,0.0,1.0,110,MLA920190352,"[{'id': '29', 'type': 'standard', 'amount': 119999, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-02-01T01:54:34Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '27', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-27T04:32:14Z', 'end_time': '2022-02-03T04:32:14Z', 'eligible': True}, 'amount': 99999, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-27T04:32:14Z'}]",12,17016.86,70.17,True,['mandatory_free_shipping'],xd_drop_off,7032,4
MLA1117445478,iPhone 11 Pro Max 256 Gb Gris Espacial,314803.0,2,1,gold_special,639283-MLA32646972173_102019,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",True,7,278897053,"['normal', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0,0,60 days,0.0,1,60 days,0.0653,16,60 days,266,77,1136,0.01,0.01,0.98,1059,MLA1117445478,"[{'id': '4', 'type': 'standard', 'amount': 314803, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-27T21:23:09Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '5', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-01T04:37:39Z', 'end_time': '2022-02-08T04:37:39Z', 'eligible': True}, 'amount': 287429, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-02-01T04:37:39Z'}]",12,44641.69,70.17,True,['mandatory_free_shipping'],xd_drop_off,7263,4
MLA1101940003,iPhone 11 Pro 64 Gb Plata,345000.0,1,0,gold_special,891435-MLA32613434435_102019,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",True,8,237714148,"['normal', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,60 days,0.0158,13,60 days,0.011,9,60 days,0.0344,26,60 days,755,887,11541,0.04,0.01,0.95,10654,MLA1101940003,"[{'id': '56', 'type': 'standard', 'amount': 345000, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-05T13:31:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '63', 'type': 'min_standard', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 295000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-30T04:47:58Z'}, {'id': '64', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-30T04:47:58Z', 'end_time': '2022-02-06T04:47:58Z', 'eligible': True}, 'amount': 295000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-30T04:47:58Z'}]",12,48923.88,70.17,True,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7150,5
MLA909924919,iPhone 11 128 Gb Negro,233750.0,1,1,gold_special,717466-MLA43654417402_102020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,9,407075586,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0,0,60 days,0.0,0,60 days,0.0,0,60 days,190,89,1207,0.02,0.01,0.97,1118,MLA909924919,"[{'id': '26', 'type': 'standard', 'amount': 233750, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-29T16:16:23Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '27', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-31T04:21:23Z', 'end_time': '2022-02-07T04:21:23Z', 'eligible': True}, 'amount': 207499, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-31T04:21:23Z'}]",12,33147.7,70.17,True,"['self_service_in', 'mandatory_free_shipping']",cross_docking,6959,2
MLA1116639853,Apple iPhone 11 64 Gb-incluye Cargador Usb-c -garantia 1 Año,219990.0,1,0,gold_special,656548-MLA46114829749_052021,"['standard_price_by_channel', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",False,10,825482913,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0069,3,60 days,0.0115,5,60 days,0.0024,1,60 days,394,56,539,0.0,0.0,1.0,483,MLA1116639853,"[{'id': '8', 'type': 'standard', 'amount': 219990, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-24T13:04:17Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '9', 'type': 'standard', 'amount': 199990, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-30T20:02:46Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '10', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-31T04:29:19Z', 'end_time': '2022-02-07T04:29:19Z', 'eligible': True}, 'amount': 150000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-31T04:29:19Z'}]",12,31196.42,70.17,True,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7255,0
