,PLACE NAME,SUPERFICIE TOTAL EN M2,PRECIO USD POR M2,PRICE,CURRENCY,PRECIO USD,TIPO DE PROPIEDAD,CANTIDAD,ZONAS COMUNALES,ambientes_regex,parrilla_regex,cochera_regex,pileta_regex,sum_regex,solarium_regex,gym_regex,balcon_regex,jardin_regex,lavadero_regex,estrenar_regex,quincho_regex,patio_regex
0,mataderos,55.0,1309.090909090909,72000.0,usd,72000.0,apartment,1.0,ZONA OESTE COMUNAL,2,0,0,0,0,0,0,0,0,1,0,0,0
1,liniers,124.83333333333333,761.0146862483311,95000.0,usd,95000.0,ph,1.0,ZONA OESTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,1
2,belgrano,65.0,3000.0,195000.0,usd,195000.0,apartment,1.0,ZONA NORTE COMUNAL,2,0,0,1,0,1,0,0,0,1,1,0,0
3,mataderos,140.0,1707.142857142857,239000.0,usd,239000.0,duplex/triplex,1.0,ZONA OESTE COMUNAL,4,1,0,0,0,0,0,0,0,0,0,0,0
4,palermo,104.0,3365.3846153846152,350000.0,usd,350000.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,1,0,0,0,0,0
5,palermo,118.0,2292.3728813559323,270500.0,usd,270500.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,1
6,boedo,80.0,1812.5,145000.0,usd,145000.0,apartment,1.0,ZONA CENTRO COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
7,lascañitas,220.0,2181.818181818182,480000.0,usd,480000.0,piso/penthouse,1.0,ZONA NORTE COMUNAL,5,1,1,1,1,1,0,0,0,0,0,0,0
8,puertomadero,80.0,875.0,70000.0,usd,70000.0,house,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
9,balvanera,141.0,1702.127659574468,240000.0,usd,240000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,1,0,0,0,0,1,0,0,0,0,0
10,boedo,504.0,1091.2698412698412,550000.0,usd,550000.0,house,1.0,ZONA CENTRO COMUNAL,0,1,1,1,0,0,0,0,1,1,0,0,1
11,caballito,50.0,2200.0,110000.0,usd,110000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
12,caballito,81.0,2721.1111111111113,220410.0,usd,220410.0,apartment,1.0,ZONA CENTRO COMUNAL,0,0,1,0,0,0,0,0,0,0,0,0,0
13,caballito,81.0,2750.3703703703704,222780.0,usd,222780.0,apartment,1.0,ZONA CENTRO COMUNAL,0,0,1,0,0,0,0,0,0,0,0,0,0
14,caballito,70.0,1542.857142857143,108000.0,usd,108000.0,apartment,1.0,ZONA CENTRO COMUNAL,0,0,0,0,0,0,0,1,0,1,0,0,0
15,boedo,38.0,1918.421052631579,72900.0,usd,72900.0,apartment,1.0,ZONA CENTRO COMUNAL,1,0,0,0,0,0,0,1,0,0,0,0,0
16,belgrano,101.89594594594594,1746.8800976088485,178000.0,usd,178000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,1,0,0,0,0,1,0,1,0,0,0
17,colegiales,139.11764705882354,1789.8520084566596,249000.0,usd,249000.0,ph,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,1
18,floresta,600.0,365.8333333333333,219500.0,usd,219500.0,house,1.0,ZONA OESTE COMUNAL,0,0,0,1,0,0,0,0,0,0,0,0,0
19,balvanera,83.65022421524664,1542.1357349630107,129000.0,usd,129000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,0,0,1,0,0,0,0,0,0,0,0
20,caballito,90.02739726027397,1421.789409616555,128000.0,usd,128000.0,apartment,1.0,ZONA CENTRO COMUNAL,2,0,1,0,0,0,0,1,0,1,0,0,0
21,balvanera,83.65022421524664,1410.635788570816,118000.0,usd,118000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
22,barracas,156.0,1025.6410256410256,160000.0,usd,160000.0,ph,1.0,ZONA SUR COMUNAL,5,1,0,0,0,0,0,0,0,0,0,1,0
23,recoleta,196.0,1938.7755102040817,380000.0,usd,380000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
24,palermo,240.0,1312.5,315000.0,usd,315000.0,ph,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,1,0,0,1
25,lascañitas,68.0,3455.8823529411766,235000.0,usd,235000.0,apartment,1.0,ZONA NORTE COMUNAL,2,0,0,1,1,1,0,0,0,0,1,0,0
26,chacarita,80.0,2187.5,175000.0,usd,175000.0,store,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
27,belgrano,160.0,3437.5,550000.0,usd,550000.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,1,0,0,0,0,0,0,1,0,0,0
28,belgrano,310.0,3548.3870967741937,1100000.0,usd,1100000.0,piso/penthouse,1.0,ZONA NORTE COMUNAL,0,0,1,1,0,1,1,1,0,0,0,0,0
29,belgrano,69.0,3447.753623188406,237895.0,usd,237895.0,apartment,1.0,ZONA NORTE COMUNAL,1,0,1,1,0,1,0,0,0,0,0,0,1
30,flores,65.0,1523.076923076923,99000.0,usd,99000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,0,0,1,0,0,0
31,recoleta,191.0,3246.0732984293195,620000.0,usd,620000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,1,0,0,0,0,1,0,1,0,0,0
32,almagro,85.0,1941.1764705882354,165000.0,usd,165000.0,ph,1.0,ZONA CENTRO COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
33,puertomadero,109.0,5045.871559633028,550000.0,usd,550000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,1,1,1,0,1,1,0,1,0,0,0
34,constitución,90.0,987.7777777777778,88900.0,usd,88900.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
35,puertomadero,198.0,6035.353535353535,1195000.0,usd,1195000.0,apartment,1.0,ZONA ESTE COMUNAL,0,1,1,1,0,1,1,1,0,1,1,0,0
36,belgrano,128.0,2656.25,340000.0,usd,340000.0,apartment,1.0,ZONA NORTE COMUNAL,4,0,1,0,0,0,0,1,0,1,0,0,0
37,palermo,175.0,2514.285714285714,440000.0,usd,440000.0,apartment,1.0,ZONA NORTE COMUNAL,4,1,1,0,0,0,0,1,0,1,0,0,1
38,colegiales,126.0,1888.888888888889,238000.0,usd,238000.0,apartment,1.0,ZONA NORTE COMUNAL,4,0,1,0,0,0,0,1,0,1,0,0,0
39,villaurquiza,127.0,2106.299212598425,267500.0,usd,267500.0,apartment,1.0,ZONA NORTE COMUNAL,4,0,1,0,0,0,0,1,0,1,0,0,0
40,villacrespo,120.0,2541.6666666666665,305000.0,usd,305000.0,apartment,1.0,ZONA NORTE COMUNAL,4,0,1,0,0,0,0,1,0,1,0,0,0
41,barracas,91.1029411764706,3238.095238095238,295000.0,usd,295000.0,apartment,1.0,ZONA SUR COMUNAL,0,0,0,0,0,0,0,1,0,1,0,0,0
42,recoleta,33.0,4212.121212121212,139000.0,usd,139000.0,store,1.0,ZONA ESTE COMUNAL,0,1,0,0,1,0,0,0,0,1,1,0,0
43,agronomía,56.0,2500.0,140000.0,usd,140000.0,apartment,1.0,ZONA NORTE COMUNAL,2,1,1,1,1,1,0,1,0,1,1,0,0
44,almagro,77.0,2727.2727272727275,210000.0,usd,210000.0,apartment,1.0,ZONA CENTRO COMUNAL,4,0,1,0,0,0,0,1,0,1,0,0,0
45,caballito,200.0,1775.0,355000.0,usd,355000.0,apartment,1.0,ZONA CENTRO COMUNAL,5,0,1,0,0,0,0,1,0,0,0,0,0
46,parquecentenario,200.0,1775.0,355000.0,usd,355000.0,apartment,1.0,ZONA CENTRO COMUNAL,5,0,1,0,0,0,0,1,0,0,0,0,0
47,monserrat,60.0,2000.0,120000.0,usd,120000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,1,0,0,0,0,0
48,recoleta,235.0,2936.1702127659573,690000.0,usd,690000.0,piso/penthouse,1.0,ZONA ESTE COMUNAL,0,0,1,0,0,0,0,1,0,1,0,0,0
49,floresta,200.0,1400.0,280000.0,usd,280000.0,house,1.0,ZONA OESTE COMUNAL,3,1,1,0,0,0,0,0,1,1,0,1,1
50,belgrano,150.0,3466.6666666666665,520000.0,usd,520000.0,apartment,1.0,ZONA NORTE COMUNAL,0,1,1,1,1,0,0,1,0,1,0,1,0
51,recoleta,140.0,2700.0,378000.0,usd,378000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,1,0,0,0,0,0,0,1,0,0,0
52,villaluro,68.17105263157895,1906.9677668403783,130000.0,usd,130000.0,apartment,1.0,ZONA OESTE COMUNAL,2,0,0,0,0,0,0,1,0,0,0,0,0
53,flores,120.0,1000.0,120000.0,usd,120000.0,apartment,1.0,ZONA CENTRO COMUNAL,2,0,0,0,0,0,0,0,0,0,1,0,0
54,palermo,96.20251572327044,3948.9611799008903,379900.0,usd,379900.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,1,0,0,0,0,1,0,1,0,0,0
55,villaurquiza,78.95338983050847,2913.1111468899267,230000.0,usd,230000.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,1,0,0,0,0,1,0,1,0,0,0
56,barrionorte,135.5,1845.018450184502,250000.0,usd,250000.0,duplex/triplex,1.0,ZONA ESTE COMUNAL,0,1,1,0,1,0,0,0,0,1,1,0,1
57,santelmo,75.0,2186.6666666666665,164000.0,usd,164000.0,store,1.0,ZONA ESTE COMUNAL,0,0,1,0,0,0,0,0,0,0,1,0,0
58,santelmo,79.0,2658.227848101266,210000.0,usd,210000.0,store,1.0,ZONA ESTE COMUNAL,0,0,1,0,0,0,0,0,0,0,1,0,0
59,mataderos,150.0,1100.0,165000.0,usd,165000.0,ph,1.0,ZONA OESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
60,parqueavellaneda,191.0,837.696335078534,160000.0,usd,160000.0,house,1.0,ZONA OESTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,0
61,palermo,106.0,2924.5283018867926,310000.0,usd,310000.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,1,0,0,0,0,1,0,0,0,0,0
62,santelmo,55.0,1709.090909090909,94000.0,usd,94000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
63,barrionorte,210.0,2857.1428571428573,600000.0,usd,600000.0,store,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
64,boca,55.0,1709.090909090909,94000.0,usd,94000.0,apartment,1.0,ZONA SUR COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
65,barracas,55.0,1709.090909090909,94000.0,usd,94000.0,apartment,1.0,ZONA SUR COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
66,recoleta,61.0,3852.4590163934427,235000.0,usd,235000.0,apartment,1.0,ZONA ESTE COMUNAL,2,0,1,1,1,0,0,0,0,1,1,0,0
67,palermo,75.0,3266.6666666666665,245000.0,usd,245000.0,apartment,1.0,ZONA NORTE COMUNAL,1,0,0,1,1,0,1,1,0,0,1,0,0
68,belgrano,52.0,2923.076923076923,152000.0,usd,152000.0,ph,1.0,ZONA NORTE COMUNAL,0,0,1,0,0,0,0,0,0,0,0,0,0
69,coghlan,52.0,2923.076923076923,152000.0,usd,152000.0,ph,1.0,ZONA NORTE COMUNAL,0,0,1,0,0,0,0,0,0,0,0,0,0
70,sancristobal,70.0,1642.857142857143,115000.0,usd,115000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,0,0,0,0,0,1,0,1,0,0,0
71,colegiales,53.0,3490.566037735849,185000.0,usd,185000.0,apartment,1.0,ZONA NORTE COMUNAL,2,1,0,0,0,1,0,1,0,1,1,0,0
72,barrionorte,104.0,2788.4615384615386,290000.0,usd,290000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,1,1,0,0,0
73,flores,51.0,1666.6666666666667,85000.0,usd,85000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,1,0,0,0,0,0
74,almagro,228.0,1267.5438596491229,289000.0,usd,289000.0,ph,1.0,ZONA CENTRO COMUNAL,0,1,0,0,0,0,0,1,0,1,0,0,0
75,boedo,228.0,1267.5438596491229,289000.0,usd,289000.0,ph,1.0,ZONA CENTRO COMUNAL,0,1,0,0,0,0,0,1,0,1,0,0,0
76,balvanera,228.0,1267.5438596491229,289000.0,usd,289000.0,ph,1.0,ZONA ESTE COMUNAL,0,1,0,0,0,0,0,1,0,1,0,0,0
77,balvanera,228.0,1267.5438596491229,289000.0,usd,289000.0,piso/penthouse,1.0,ZONA ESTE COMUNAL,0,1,0,0,0,0,0,1,0,1,0,0,0
78,boedo,228.0,1267.5438596491229,289000.0,usd,289000.0,piso/penthouse,1.0,ZONA CENTRO COMUNAL,0,1,0,0,0,0,0,1,0,1,0,0,0
79,almagro,228.0,1267.5438596491229,289000.0,usd,289000.0,piso/penthouse,1.0,ZONA CENTRO COMUNAL,0,1,0,0,0,0,0,1,0,1,0,0,0
80,caballito,71.0,2225.3521126760565,158000.0,usd,158000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,0,0,1,0,0,0
81,belgrano,304.0,1924.342105263158,585000.0,usd,585000.0,piso/penthouse,1.0,ZONA NORTE COMUNAL,0,1,1,0,0,0,0,1,0,1,0,1,1
82,palermo,159.0,2924.5283018867926,465000.0,usd,465000.0,apartment,1.0,ZONA NORTE COMUNAL,5,0,1,0,0,0,0,1,0,1,0,0,0
83,coghlan,66.0,2090.909090909091,138000.0,usd,138000.0,apartment,1.0,ZONA NORTE COMUNAL,2,0,1,1,0,1,0,1,0,0,1,0,0
84,caballito,110.0,2272.7272727272725,250000.0,usd,250000.0,house,1.0,ZONA CENTRO COMUNAL,4,0,0,0,0,0,0,0,0,0,0,0,1
85,abasto,52.0,1903.8461538461538,99000.0,usd,99000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,0
86,palermo,154.98076923076923,709.7654795880383,110000.0,usd,110000.0,ph,1.0,ZONA NORTE COMUNAL,1,0,0,0,0,0,0,0,0,0,0,0,0
87,nuñez,147.0,2448.9795918367345,360000.0,usd,360000.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,1,0,0,0
88,belgrano,147.0,2448.9795918367345,360000.0,usd,360000.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,1,0,0,0
89,villadelparque,230.0,1217.391304347826,280000.0,usd,280000.0,ph,1.0,ZONA OESTE COMUNAL,0,1,0,1,0,0,0,0,0,0,0,1,0
90,saavedra,78.72727272727273,1486.1431870669744,117000.0,usd,117000.0,apartment,1.0,ZONA NORTE COMUNAL,1,0,0,0,0,0,0,0,1,1,0,0,1
91,monserrat,71.44444444444444,3779.1601866251945,270000.0,usd,270000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,1,0,0,0,1
92,monserrat,71.44444444444444,3849.144634525661,275000.0,usd,275000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,1,1,0,0,0,0
93,palermo,96.20251572327044,3898.0269609445486,375000.0,usd,375000.0,apartment,1.0,ZONA NORTE COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
94,flores,80.59,1301.6503288249162,104900.0,usd,104900.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
95,flores,80.59,3089.7133639409353,249000.0,usd,249000.0,apartment,1.0,ZONA CENTRO COMUNAL,5,0,1,0,0,0,0,1,0,0,0,0,1
