iter	Passed	Remaining
0	18	73767
1	34	69012
2	45	60844
3	57	57744
4	70	56331
5	83	55317
6	94	53879
7	106	53367
8	119	53068
9	131	52653
10	143	52103
11	155	51757
12	167	51386
13	179	51072
14	190	50704
15	201	50231
16	214	50183
17	229	50871
18	241	50583
19	254	50648
20	264	50036
21	274	49690
22	286	49472
23	296	49150
24	309	49166
25	321	49065
26	332	48888
27	342	48556
28	352	48330
29	363	48104
30	375	48070
31	386	47985
32	397	47819
33	408	47681
34	418	47466
35	429	47302
36	443	47455
37	456	47639
38	469	47639
39	482	47731
40	494	47719
41	505	47618
42	517	47661
43	528	47494
44	538	47356
45	548	47135
46	558	46988
47	570	46963
48	580	46776
49	589	46603
50	600	46506
51	612	46474
52	627	46731
53	639	46734
54	650	46631
55	661	46587
56	672	46516
57	684	46497
58	695	46441
59	706	46412
60	716	46257
61	726	46137
62	737	46088
63	748	46047
64	759	45978
65	770	45908
66	781	45848
67	791	45776
68	802	45732
69	813	45690
70	823	45572
71	841	45924
72	855	46014
73	868	46088
74	880	46095
75	893	46110
76	904	46065
77	915	46012
78	926	45965
79	937	45942
80	948	45871
81	959	45859
82	971	45825
83	981	45752
84	992	45695
85	1002	45639
86	1014	45627
87	1025	45580
88	1035	45504
89	1047	45507
90	1059	45509
91	1072	45541
92	1083	45519
93	1093	45420
94	1102	45298
95	1111	45216
96	1123	45204
97	1134	45153
98	1143	45077
99	1154	45018
100	1163	44930
101	1174	44867
102	1185	44842
103	1196	44804
104	1205	44732
105	1217	44719
106	1227	44645
107	1237	44613
108	1249	44600
109	1260	44588
110	1271	44550
111	1283	44556
112	1292	44475
113	1305	44498
114	1316	44474
115	1327	44441
116	1338	44425
117	1349	44404
118	1359	44339
119	1372	44372
120	1384	44372
121	1395	44356
122	1406	44331
123	1418	44346
124	1430	44343
125	1442	44346
126	1456	44402
127	1467	44388
128	1480	44429
129	1490	44365
130	1501	44345
131	1513	44354
132	1525	44356
133	1536	44339
134	1546	44279
135	1558	44267
136	1568	44237
137	1579	44205
138	1591	44210
139	1603	44201
140	1614	44177
141	1625	44176
142	1637	44160
143	1647	44121
144	1658	44080
145	1669	44066
146	1680	44042
147	1691	44017
148	1702	44003
149	1714	44008
150	1725	43986
151	1735	43946
152	1746	43920
153	1756	43863
154	1767	43839
155	1777	43799
156	1788	43769
157	1799	43745
158	1810	43744
159	1821	43709
160	1832	43700
161	1843	43674
162	1854	43646
163	1866	43663
164	1877	43635
165	1892	43699
166	1903	43691
167	1915	43693
168	1925	43651
169	1936	43618
170	1946	43588
171	1957	43563
172	1966	43499
173	1976	43458
174	1987	43447
175	1999	43448
176	2011	43435
177	2022	43420
178	2032	43380
179	2043	43357
180	2053	43321
181	2064	43302
182	2073	43249
183	2085	43243
184	2096	43229
185	2107	43209
186	2117	43172
187	2129	43172
188	2140	43153
189	2151	43139
190	2161	43097
191	2172	43094
192	2184	43087
193	2194	43051
194	2204	43021
195	2215	42994
196	2226	42985
197	2237	42960
198	2247	42932
199	2259	42924
200	2269	42896
201	2280	42881
202	2292	42878
203	2305	42892
204	2316	42878
205	2326	42842
206	2336	42815
207	2347	42792
208	2359	42793
209	2370	42783
210	2381	42761
211	2391	42727
212	2402	42717
213	2413	42702
214	2424	42676
215	2435	42667
216	2445	42640
217	2459	42665
218	2470	42652
219	2482	42655
220	2494	42656
221	2506	42648
222	2517	42647
223	2529	42646
224	2540	42629
225	2552	42616
226	2561	42583
227	2572	42560
228	2584	42553
229	2595	42537
230	2606	42527
231	2617	42513
232	2628	42493
233	2638	42465
234	2649	42456
235	2662	42470
236	2674	42468
237	2687	42479
238	2702	42520
239	2711	42481
240	2723	42487
241	2734	42456
242	2744	42436
243	2756	42425
244	2767	42412
245	2776	42374
246	2787	42359
247	2798	42341
248	2809	42328
249	2820	42303
250	2831	42284
251	2842	42276
252	2852	42253
253	2864	42252
254	2877	42255
255	2891	42281
256	2901	42252
257	2914	42267
258	2926	42275
259	2940	42302
260	2955	42341
261	2971	42393
262	2981	42370
263	2991	42332
264	3003	42326
265	3013	42299
266	3025	42297
267	3036	42282
268	3048	42286
269	3058	42258
270	3070	42248
271	3082	42241
272	3093	42228
273	3105	42230
274	3116	42209
275	3126	42187
276	3139	42196
277	3151	42199
278	3162	42178
279	3173	42164
280	3183	42136
281	3194	42112
282	3205	42106
283	3218	42110
284	3228	42089
285	3239	42074
286	3252	42074
287	3261	42041
288	3272	42024
289	3284	42020
290	3296	42017
291	3309	42029
292	3322	42039
293	3333	42016
294	3344	42005
295	3355	41988
296	3367	41980
297	3377	41963
298	3388	41939
299	3399	41931
300	3411	41921
301	3422	41912
302	3431	41872
303	3443	41861
304	3453	41833
305	3464	41819
306	3474	41795
307	3485	41786
308	3497	41778
309	3512	41807
310	3523	41793
311	3534	41776
312	3545	41761
313	3555	41741
314	3567	41739
315	3579	41726
316	3590	41720
317	3603	41727
318	3615	41720
319	3626	41704
320	3637	41691
321	3647	41664
322	3659	41660
323	3670	41645
324	3680	41621
325	3693	41623
326	3705	41620
327	3718	41633
328	3730	41626
329	3741	41607
330	3752	41594
331	3763	41582
332	3773	41554
333	3785	41552
334	3799	41565
335	3810	41548
336	3820	41528
337	3832	41518
338	3844	41515
339	3856	41517
340	3868	41504
341	3880	41505
342	3892	41501
343	3904	41493
344	3915	41483
345	3927	41472
346	3938	41457
347	3949	41445
348	3960	41433
349	3972	41423
350	3982	41401
351	3994	41393
352	4005	41378
353	4015	41362
354	4027	41356
355	4039	41348
356	4049	41325
357	4060	41304
358	4070	41286
359	4081	41266
360	4092	41252
361	4104	41253
362	4117	41253
363	4129	41247
364	4141	41244
365	4151	41221
366	4163	41211
367	4174	41201
368	4186	41191
369	4197	41179
370	4209	41178
371	4221	41169
372	4233	41162
373	4244	41148
374	4256	41143
375	4268	41141
376	4280	41133
377	4291	41124
378	4303	41115
379	4315	41107
380	4327	41106
381	4340	41111
382	4352	41105
383	4364	41094
384	4376	41090
385	4386	41073
386	4397	41057
387	4408	41042
388	4419	41022
389	4431	41015
390	4442	41002
391	4452	40982
392	4463	40967
393	4474	40948
394	4484	40925
395	4495	40911
396	4507	40911
397	4522	40927
398	4534	40920
399	4545	40911
400	4556	40895
401	4566	40871
402	4577	40856
403	4588	40839
404	4599	40824
405	4610	40810
406	4621	40798
407	4632	40786
408	4643	40765
409	4654	40755
410	4666	40751
411	4680	40758
412	4691	40743
413	4702	40735
414	4714	40727
415	4727	40733
416	4739	40721
417	4751	40716
418	4762	40702
419	4773	40686
420	4784	40677
421	4796	40669
422	4807	40650
423	4818	40635
424	4828	40617
425	4839	40603
426	4851	40599
427	4862	40584
428	4874	40572
429	4884	40553
430	4894	40534
431	4907	40530
432	4918	40514
433	4932	40525
434	4944	40520
435	4954	40499
436	4965	40486
437	4977	40475
438	4987	40455
